x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
4.9766974,12.50253,2021,E07000146,King's Lynn and West Norfolk,154326,2886,843,2022,147563,1012,128888,72399,69220,3179,56489
10.364022,11.92012,2021,E07000147,North Norfolk,102978,565,183,978,101007,245,89143,43616,41657,1959,45527
5.576883,10.93718,2021,E07000148,Norwich,143924,7867,3578,4519,125421,2539,120763,71055,65720,5335,49708
6.694753,12.336425,2021,E07000149,South Norfolk,141948,2562,1164,2094,135474,654,117219,70090,67749,2341,47129
14.546085,8.562827,2021,E07000163,Craven,56927,972,87,569,55143,156,48283,27943,27131,812,20340
12.045206,10.806152,2021,E07000164,Hambleton,90692,664,244,741,88764,279,76985,44737,43405,1332,32248
4.6266065,12.376341,2021,E07000165,Harrogate,162668,2947,1036,2573,155244,868,135306,82286,79686,2600,53020
14.515594,8.665265,2021,E07000166,Richmondshire,49781,1346,440,462,46989,544,41736,25526,24675,851,16210
14.670195,8.524998,2021,E07000167,Ryedale,54707,325,93,424,53701,164,46325,26772,25961,811,19553
9.967773,12.001903,2021,E07000168,Scarborough,108736,1372,331,1069,105460,504,92109,48974,46549,2425,43135
11.7701845,10.633665,2021,E07000169,Selby,91988,694,228,884,89854,328,75430,47832,46121,1711,27598
7.9422975,12.169626,2021,E07000170,Ashfield,126299,1968,1575,2059,120147,550,102843,61531,58427,3104,41312
8.92251,11.970314,2021,E07000171,Bassetlaw,117803,1455,736,1405,113620,587,97370,57282,54920,2362,40088
9.054502,10.88136,2021,E07000172,Broxtowe,110940,6152,1867,2819,98636,1466,92538,54415,51915,2500,38123
8.641666,10.88976,2021,E07000173,Gedling,117264,4532,2675,4130,104918,1009,96462,58689,56186,2503,37773
9.865556,11.456798,2021,E07000174,Mansfield,110482,2234,1174,1544,104712,818,90170,53882,51367,2515,36288
8.206115,12.190421,2021,E07000175,Newark and Sherwood,122959,1411,804,1844,118366,534,101968,59562,57114,2448,42406
8.615259,10.874705,2021,E07000176,Rushcliffe,119077,6775,1095,3303,106827,1077,97724,59116,56978,2138,38608
4.807572,10.958931,2021,E07000177,Cherwell,161015,9706,2845,4614,141831,2019,130586,88197,84970,3227,42389
3.0051196,9.940627,2021,E07000178,Oxford,162040,24991,7535,9005,114561,5948,136718,77669,73326,4343,59049
5.156992,11.4212,2021,E07000179,South Oxfordshire,149088,4263,1467,3402,138785,1171,121491,79136,76476,2660,42355
6.6382523,11.418574,2021,E07000180,Vale of White Horse,138913,5490,2315,3452,126104,1552,112425,73280,70863,2417,39145
9.227732,11.5956545,2021,E07000181,West Oxfordshire,114236,1936,722,2141,108773,664,93810,60809,58926,1883,33001
9.121799,11.760971,2021,E07000187,Mendip,116089,1298,369,1666,112351,405,96052,57860,55671,2189,38192
7.916016,12.27857,2021,E07000188,Sedgemoor,125341,1806,423,1431,121085,596,103782,61679,59148,2531,42103
4.285047,12.27828,2021,E07000189,South Somerset,172670,2330,816,2023,166829,672,143817,84072,80935,3137,59745
10.637267,11.318951,2021,E07000192,Cannock Chase,100523,1208,472,1422,97131,290,82478,51378,48877,2501,31100
8.271356,10.943022,2021,E07000193,East Staffordshire,124021,11552,1376,2723,107051,1319,100507,62173,59316,2857,38334
10.082503,11.438696,2021,E07000194,Lichfield,106436,2496,601,1987,100917,435,88597,52639,50473,2166,35958
8.102591,12.266197,2021,E07000195,Newcastle-under-Lyme,123299,4642,1289,1988,114523,857,103184,59643,56683,2960,43541
9.536869,11.407262,2021,E07000196,South Staffordshire,110475,3108,1031,2242,103570,524,93372,52966,50699,2267,40406
6.8933787,12.091853,2021,E07000197,Stafford,136870,4165,1440,2552,127805,908,113614,68385,65765,2620,45229
11.631714,11.156695,2021,E07000198,Staffordshire Moorlands,95844,658,188,902,93931,165,80856,46650,45037,1613,34206
12.03967,9.805774,2021,E07000199,Tamworth,78642,1081,492,1472,75309,288,63793,40229,38161,2068,23564
11.743372,10.829453,2021,E07000200,Babergh,92342,875,503,1351,89269,344,77378,44824,42956,1868,32554
5.598048,10.381027,2021,E07000202,Ipswich,139643,7611,4882,6409,117757,2984,111832,71116,67026,4090,40716
10.676524,11.604068,2021,E07000203,Mid Suffolk,102701,821,553,1463,99463,401,86305,51759,50024,1735,34546
5.709833,10.424409,2021,E07000207,Elmbridge,138755,9052,1730,5688,119500,2785,108774,70000,66980,3020,38774
